Date,Province,Active Cases,Recoveries,Deaths_Total,Total Confirmed
"August 3, 2020",Albay,70,87,7,164
"August 3, 2020",Camarines Norte,3,6,1,10
"August 3, 2020",Camarines Sur,92,84,3,179
"August 3, 2020",Catanduanes,5,12,0,17
"August 3, 2020",Masbate,51,37,0,88
"August 3, 2020",Sorsogon,17,11,2,30
,,,,,
"August 2, 2020",Albay,66,87,6,159
"August 2, 2020",Camarines Norte,3,6,1,10
"August 2, 2020",Camarines Sur,87,84,3,174
"August 2, 2020",Catanduanes,5,12,0,17
"August 2, 2020",Masbate,80,8,0,88
"August 2, 2020",Sorsogon,17,11,2,30
,,,,,
"August 1, 2020",Albay,65,84,5,154
"August 1, 2020",Camarines Norte,3,6,1,10
"August 1, 2020",Camarines Sur,89,81,3,173
"August 1, 2020",Catanduanes,6,11,0,17
"August 1, 2020",Masbate,68,8,0,76
"August 1, 2020",Sorsogon,16,11,2,29
,,,,,
"July 26, 2020",Albay,35,,4,117
"July 26, 2020",Camarines Norte,3,,1,9
"July 26, 2020",Camarines Sur,94,,2,147
"July 26, 2020",Catanduanes,8,,0,16
"July 26, 2020",Masbate,50,,0,57
"July 26, 2020",Sorsogon,15,,1,26
,,,,,
"July 25, 2020",Albay,29,,4,111
"July 25, 2020",Camarines Norte,3,,1,9
"July 25, 2020",Camarines Sur,86,,2,139
"July 25, 2020",Catanduanes,8,,0,16
"July 25, 2020",Masbate,53,,0,57
"July 25, 2020",Sorsogon,11,,1,22
,,,,,
"July 24, 2020",Albay,27,,4,109
"July 24, 2020",Camarines Norte,3,,1,9
"July 24, 2020",Camarines Sur,81,,2,134
"July 24, 2020",Catanduanes,7,,0,15
"July 24, 2020",Masbate,48,,0,50
"July 24, 2020",Sorsogon,11,,1,22
,,,,,
"July 23, 2020",Albay,27,,4,106
"July 23, 2020",Camarines Norte,3,,1,9
"July 23, 2020",Camarines Sur,74,,2,127
"July 23, 2020",Catanduanes,7,,0,15
"July 23, 2020",Masbate,44,,0,46
"July 23, 2020",Sorsogon,6,,1,17
,,,,,
"July 22, 2020",Albay,31,,4,106
"July 22, 2020",Camarines Norte,3,,1,9
"July 22, 2020",Camarines Sur,66,,2,119
"July 22, 2020",Catanduanes,11,,0,15
"July 22, 2020",Masbate,36,,0,38
"July 22, 2020",Sorsogon,4,,1,15
,,,,,
"July 21, 2020",Albay,29,,4,104
"July 21, 2020",Camarines Norte,3,,1,9
"July 21, 2020",Camarines Sur,56,,2,109
"July 21, 2020",Catanduanes,10,,0,14
"July 21, 2020",Masbate,36,,0,38
"July 21, 2020",Sorsogon,5,,1,14
,,,,,
"July 20, 2020",Albay,24,,4,99
"July 20, 2020",Camarines Norte,3,,1,9
"July 20, 2020",Camarines Sur,64,,2,108
"July 20, 2020",Catanduanes,9,,0,13
"July 20, 2020",Masbate,36,,0,38
"July 20, 2020",Sorsogon,9,,0,13
,,,,,
"July 19, 2020",Albay,24,,4,99
"July 19, 2020",Camarines Norte,3,,1,9
"July 19, 2020",Camarines Sur,74,,2,107
"July 19, 2020",Catanduanes,9,,0,13
"July 19, 2020",Masbate,36,,0,38
"July 19, 2020",Sorsogon,5,,1,12
,,,,,
"July 18, 2020",Albay,23,,4,98
"July 18, 2020",Camarines Norte,2,,1,8
"July 18, 2020",Camarines Sur,71,,2,104
"July 18, 2020",Catanduanes,9,,0,13
"July 18, 2020",Masbate,36,,0,38
"July 18, 2020",Sorsogon,5,,1,12
,,,,,
"July 17, 2020",Albay,20,,4,95
"July 17, 2020",Camarines Norte,2,,1,8
"July 17, 2020",Camarines Sur,73,,2,101
"July 17, 2020",Catanduanes,9,,0,13
"July 17, 2020",Masbate,29,,0,29
"July 17, 2020",Sorsogon,5,,1,12
,,,,,
"July 16, 2020",Albay,21,,4,94
"July 16, 2020",Camarines Norte,2,,1,8
"July 16, 2020",Camarines Sur,71,,2,96
"July 16, 2020",Catanduanes,6,,0,10
"July 16, 2020",Masbate,24,,0,24
"July 16, 2020",Sorsogon,6,,1,12
,,,,,
"July 15, 2020",Albay,21,,4,90
"July 15, 2020",Camarines Norte,4,,1,8
"July 15, 2020",Camarines Sur,70,,2,95
"July 15, 2020",Catanduanes,5,,0,9
"July 15, 2020",Masbate,22,,0,22
"July 15, 2020",Sorsogon,7,,1,11
,,,,,
"July 14, 2020",Albay,18,,4,87
"July 14, 2020",Camarines Norte,4,,1,8
"July 14, 2020",Camarines Sur,71,,1,95
"July 14, 2020",Catanduanes,5,,0,9
"July 14, 2020",Masbate,21,,0,21
"July 14, 2020",Sorsogon,7,,1,11
,,,,,
"July 13, 2020",Albay,18,,4,87
"July 13, 2020",Camarines Norte,4,,1,8
"July 13, 2020",Camarines Sur,73,,1,93
"July 13, 2020",Catanduanes,4,,0,8
"July 13, 2020",Masbate,21,,0,21
"July 13, 2020",Sorsogon,8,,1,11
,,,,,
"July 12, 2020",Albay,17,,4,86
"July 12, 2020",Camarines Norte,4,,1,8
"July 12, 2020",Camarines Sur,73,,1,93
"July 12, 2020",Catanduanes,4,,0,8
"July 12, 2020",Masbate,21,,0,21
"July 12, 2020",Sorsogon,8,,1,11
,,,,,
"July 11, 2020",Albay,18,,4,86
"July 11, 2020",Camarines Norte,4,,1,8
"July 11, 2020",Camarines Sur,73,,1,89
"July 11, 2020",Catanduanes,4,,0,8
"July 11, 2020",Masbate,21,,0,21
"July 11, 2020",Sorsogon,9,,1,11
,,,,,
"July 10, 2020",Albay,17,,3,84
"July 10, 2020",Camarines Norte,4,,1,8
"July 10, 2020",Camarines Sur,67,,1,83
"July 10, 2020",Catanduanes,4,,0,8
"July 10, 2020",Masbate,21,,0,21
"July 10, 2020",Sorsogon,9,,1,11
,,,,,
"July 9, 2020",Albay,15,,3,82
"July 9, 2020",Camarines Norte,2,,1,6
"July 9, 2020",Camarines Sur,69,,1,83
"July 9, 2020",Catanduanes,4,,0,8
"July 9, 2020",Masbate,18,,0,18
"July 9, 2020",Sorsogon,9,,1,11
,,,,,
"July 8, 2020",Albay,15,,3,82
"July 8, 2020",Camarines Norte,2,,1,6
"July 8, 2020",Camarines Sur,62,,1,76
"July 8, 2020",Catanduanes,3,,0,7
"July 8, 2020",Masbate,16,,0,16
"July 8, 2020",Sorsogon,9,,1,11
,,,,,
"July 7, 2020",Albay,15,,3,79
"July 7, 2020",Camarines Norte,2,,1,6
"July 7, 2020",Camarines Sur,59,,1,73
"July 7, 2020",Catanduanes,4,,0,7
"July 7, 2020",Masbate,16,,0,16
"July 7, 2020",Sorsogon,7,,1,9
,,,,,
"July 6, 2020",Albay,13,,3,76
"July 6, 2020",Camarines Norte,2,,1,6
"July 6, 2020",Camarines Sur,51,,1,65
"July 6, 2020",Catanduanes,3,,0,5
"July 6, 2020",Masbate,5,,0,5
"July 6, 2020",Sorsogon,7,,1,9
,,,,,
"July 5, 2020",Albay,13,,3,76
"July 5, 2020",Camarines Norte,2,,1,6
"July 5, 2020",Camarines Sur,47,,1,61
"July 5, 2020",Catanduanes,3,,0,5
"July 5, 2020",Masbate,5,,0,5
"July 5, 2020",Sorsogon,7,,1,9
